category,model_id,display_name,max_load_ton,volume_capacity_m3,length_m,width_m,height_m,base_rate_vnd_per_km,fuel_l_per_100km,fuel_penalty,fixed_surcharge_vnd,toll_rate_vnd_per_km,osrm_profile,suitable_cargo_types,notes
small_box,small_box_1t5,小卡车 1.5吨厢货,1.5,8,3.0,1.6,1.7,8000,7.0,0,1500000,0,driving,normal;other,2026-07-04:加入固定调度费1.5M+8K/km(源:DuyAnh报价,误差64.5%→9.1%)
small_box,small_box_2t5,小卡车 2.5吨厢货,2.5,10,3.3,1.7,1.8,8000,8.5,0,1800000,0,driving,normal;other,2026-07-04:加入固定调度费1.8M+8K/km(源:DuyAnh报价)
small_box,small_box_3t5,小卡车 3.5吨厢货,3.5,15,4.2,1.9,1.9,8000,8.0,0,2100000,0,driving,normal;other,2026-07-04:加入固定调度费2.1M+8K/km(源:DuyAnh报价)
small_box,small_box_5t,小卡车 5吨厢货,5.0,22,5.5,2.0,2.1,21000,10.0,0,0,0,truck,normal;other,基于越南市场常见规格估算，待实际报价核实
small_box,small_box_8t,小卡车 8吨厢货,8.0,32,6.5,2.3,2.2,25000,13.0,0,0,0,truck,normal;other,基于越南市场常见规格估算，待实际报价核实
small_box,small_box_10t,小卡车 10吨厢货,10.0,40,7.6,2.3,2.3,28000,16.0,0,0,0,truck,normal;other,基于越南市场常见规格估算，待实际报价核实
flatbed,flatbed_6m2,普通平板 6.2米,8.0,,6.2,2.3,,22000,14.0,0,0,0,truck,oversized;normal;other,普通平板；基于越南市场常见规格估算，待实际报价核实
flatbed,flatbed_9m0,普通平板 9.0米,12.0,,9.0,2.3,,25500,17.0,0,0,0,truck,oversized;normal;other,普通平板；越南平板车常见9m/9.6m/12.5m/13m/17m几种拖车长度
flatbed,flatbed_9m6,普通平板 9.6米,18.0,,9.6,2.4,,29000,20.0,0,0,0,truck,oversized;normal;other,普通平板；载重已从10t更正为18t（9.6m平板挂车实际承载）；待实际报价核实
flatbed,flatbed_12m5,普通平板 12.5米,22.0,,12.5,2.5,,26500,25.0,0,3460000,0,truck,oversized;normal;other,普通平板；2026-07-16校准:34K→26.5K+3.46M固定调度费(源:新供应商Sàn/Rào报价27样本,R²良好)
flatbed,flatbed_13m,普通平板 13米,26.0,,13.0,2.5,,28000,30.0,0,4500000,0,truck,oversized;normal;other,普通平板；越南5轴半挂GVM上限40t整备~14t合法载重26t；2026-07-16:改为固定调度费模型 28K+4.5M(源:flatbed_12m5校准结论推演,待实际报价验证)
flatbed,flatbed_low_9m6,低平板 9.6米,20.0,,9.6,2.5,,32000,22.0,0,0,0,truck,heavy_equipment;oversized,低平板挂车（低底盘）适合重型设备/工程机械；费率含低平板溢价
flatbed,flatbed_low_13m,低平板 13米,28.0,,13.0,2.8,,44000,33.0,0,0,0,truck,heavy_equipment;oversized,低平板挂车（低底盘）宽2.8m需超限许可；适合重型设备/工程机械；费率含低平板溢价
flatbed,flatbed_low_16m,低平板 16米,35.0,,16.0,3.0,,52000,40.0,0,0,0,truck,heavy_equipment;oversized,低平板挂车（低底盘）宽3.0m+载重35t需超限许可；适合大型工程机械/变压器等超重货；费率含低平板溢价
flatbed,flatbed_low_17m5,低平板 17.5米,38.0,,17.5,3.0,,41000,45.0,0,7300000,0,truck,heavy_equipment;oversized,低平板挂车（低底盘）宽3.0m+载重38t需超限许可；2026-07-16:改为固定调度费模型 41K+7.3M(源:flatbed_12m5校准结论推演,待实际报价验证)
high_side,high_side_5t,高栏车 5吨,5.0,20,5.5,2.0,1.8,1700,10.5,0,3600000,0,truck,normal;oversized;other,2026-07-04:固定调度费3.6M+1.7K/km(源:DuyAnh,误差43%→13%)
high_side,high_side_8t,高栏车 8吨,8.0,30,6.5,2.3,2.0,2200,14.0,0,3900000,0,truck,normal;oversized;other,2026-07-04:固定调度费3.9M+2.2K/km(源:DuyAnh,误差40%→14%)
high_side,high_side_10t,高栏车 10吨,10.0,35,7.6,2.3,2.0,2100,18.0,0,4600000,0,truck,normal;oversized;other,2026-07-04:固定调度费4.6M+2.1K/km(源:DuyAnh,误差38%→17%)
high_side,high_side_15t,高栏车 15吨,15.0,43,8.5,2.3,2.2,33000,24.0,0,0,0,truck,normal;oversized;other,基于越南市场常见高栏车规格估算，待实际报价核实
high_side,high_side_18t,高栏车 18吨,18.0,55,9.6,2.4,2.4,3000,30.0,0,5700000,0,truck,normal;oversized;other,2026-07-04:固定调度费5.7M+3.0K/km(源:DuyAnh,误差36%→10%)
high_side,high_side_25t,高栏车 25吨,24.0,69,12.5,2.4,2.3,46000,36.0,0,0,0,truck,normal;oversized;other,越南4轴单车GVM上限34t保守取24t；高栏车最大规格；基于越南市场常见规格估算，待实际报价核实
container,container_20ft,集装箱车 20尺,24.0,33,6.1,2.35,2.39,42000,32.0,0,0,0,truck,normal;other,标准20尺集装箱；ISO 668 1CC规格
container,container_40ft,集装箱车 40尺,28.0,67,12.2,2.35,2.39,41550,38.0,0,5730000,0,truck,normal;other,标准40尺集装箱；2026-07-16校准:52K→41.55K+5.73M固定调度费(源:新供应商Fooc报价27样本,R²良好)
container,container_40hc,集装箱车 40尺高柜,28.0,76,12.2,2.35,2.70,43600,39.0,0,6000000,0,truck,normal;other,40尺高柜（High Cube）；2026-07-16:按container_40ft×1.05推算 43.6K+6.0M(源:Fooc校准结论比例推演,待实际报价验证)
container,container_45hc,集装箱车 45尺高柜,30.0,86,13.7,2.35,2.70,45700,42.0,0,6400000,0,truck,normal;other,45尺高柜（Pallet-Wide）；2026-07-16:按container_40ft×1.10推算 45.7K+6.4M(源:Fooc校准结论比例推演,待实际报价验证)
cold_chain,cold_chain_diesel_40ft,冷链车 40尺（油冷）,26.0,63,12.2,2.44,2.90,55000,40.0,0.25,220000,0,truck,cold_chain,40尺冷柜挂车/柴油独立制冷机组；油冷油耗+25%，制冷附加费220K₫
cold_chain,cold_chain_electric_40ft,冷链车 40尺（电冷）,26.0,63,12.2,2.44,2.90,57500,37.0,0.10,270000,0,truck,cold_chain,40尺冷柜挂车/电机驱动制冷（主车引擎发电）；电冷油耗+10%，制冷附加费270K₫
cold_chain,cold_chain_diesel_45ft,冷链车 45尺（油冷）,28.0,72,13.7,2.44,2.90,60000,44.0,0.25,240000,0,truck,cold_chain,45尺冷柜挂车（总重~43t需超限许可）/柴油独立制冷机组；油冷油耗+25%，制冷附加费240K₫
cold_chain,cold_chain_electric_45ft,冷链车 45尺（电冷）,28.0,72,13.7,2.44,2.90,63000,41.0,0.10,290000,0,truck,cold_chain,45尺冷柜挂车（总重~43t需超限许可）/电机驱动制冷（主车引擎发电）；电冷油耗+10%，制冷附加费290K₫
cold_chain,cold_chain_diesel_50ft,冷链车 50尺（油冷）,30.0,85,15.2,2.44,2.90,68000,48.0,0.25,260000,0,truck,cold_chain,50尺冷柜挂车（总重~46t需超限许可）/柴油独立制冷机组；油冷油耗+25%，制冷附加费260K₫
cold_chain,cold_chain_electric_50ft,冷链车 50尺（电冷）,30.0,85,15.2,2.44,2.90,71000,44.0,0.10,310000,0,truck,cold_chain,50尺冷柜挂车（总重~46t需超限许可）/电机驱动制冷（主车引擎发电）；电冷油耗+10%，制冷附加费310K₫
